km,potencia,volante_regulable,aire_acondicionado,camara_trasera,asientos_traseros_plegables,elevalunas_electrico,bluetooth,gps,alerta_lim_velocidad,precio,tiemo_venta,year_registro,mes_registro,year_venta,mes_venta,precio_log10,tipo_gasolina_diesel,tipo_gasolina_electro,tipo_gasolina_hybrid_petrol,tipo_gasolina_petrol,color_beige,color_black,color_blue,color_brown,color_green,color_grey,color_orange,color_red,color_silver,color_white,tipo_coche_convertible,tipo_coche_coupe,tipo_coche_estate,tipo_coche_hatchback,tipo_coche_sedan,tipo_coche_subcompact,tipo_coche_suv,tipo_coche_van,modelo_agrupado_M1,modelo_agrupado_M2,modelo_agrupado_M3,modelo_agrupado_M4,modelo_agrupado_M5,modelo_agrupado_M6,modelo_agrupado_M7,modelo_agrupado_Otros,modelo_agrupado_XSERIES
140411.0,100.0,True,True,False,False,True,True,True,False,11300.0,72,2012,2,2018,1,4.05307844348342,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13929.0,317.0,True,True,False,False,False,True,True,True,69700.0,22,2016,4,2018,2,4.84323277809801,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
183297.0,120.0,False,False,False,False,True,False,True,False,10200.0,71,2012,4,2018,2,4.008600171761918,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128035.0,135.0,True,True,False,False,True,True,True,True,25100.0,43,2014,7,2018,2,4.399673721481038,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
97097.0,160.0,True,True,False,False,False,True,True,True,33400.0,40,2014,12,2018,4,4.523746466811565,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
152352.0,225.0,True,True,False,False,True,True,True,True,17100.0,82,2011,5,2018,2,4.232996110392154,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
205219.0,145.0,True,True,False,False,True,True,True,True,12400.0,106,2009,5,2018,2,4.093421685162235,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
115560.0,105.0,True,True,False,False,False,True,True,False,6100.0,103,2009,8,2018,2,3.785329835010767,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
123886.0,125.0,True,False,False,False,False,True,True,False,6200.0,166,2004,7,2018,3,3.792391689498254,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
139541.0,135.0,False,False,False,False,True,False,True,False,17300.0,57,2013,6,2018,3,4.238046103128795,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
77115.0,135.0,True,True,False,False,True,False,True,True,19300.0,66,2012,9,2018,3,4.285557309007774,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
228000.0,145.0,True,True,False,False,True,False,True,True,13300.0,103,2009,9,2018,3,4.123851640967086,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
132025.0,135.0,True,True,False,False,True,True,True,False,21700.0,48,2014,3,2018,3,4.336459733848529,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
77061.0,135.0,True,True,False,False,True,True,True,True,36300.0,31,2015,8,2018,3,4.559906625036112,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
174631.0,120.0,True,True,False,False,False,False,True,False,10500.0,112,2009,1,2018,4,4.021189299069938,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
208945.0,130.0,True,True,False,False,True,False,True,True,8300.0,121,2008,4,2018,4,3.9190780923760737,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21167.0,135.0,False,False,True,False,False,False,False,True,21900.0,33,2015,7,2018,4,4.3404441148401185,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24521.0,270.0,True,False,False,False,False,False,True,False,9200.0,129,2008,1,2018,9,3.963787827345555,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
205474.0,145.0,True,True,False,False,True,True,True,True,11000.0,108,2009,5,2018,4,4.041392685158225,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128940.0,110.0,True,False,False,False,False,False,True,False,7700.0,123,2008,3,2018,5,3.886490725172482,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
126213.0,225.0,False,False,False,False,False,True,True,True,16800.0,63,2013,2,2018,5,4.225309281725863,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24868.0,100.0,False,True,False,False,False,False,True,True,31000.0,28,2016,1,2018,5,4.491361693834273,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
90401.0,135.0,True,True,False,False,True,True,True,True,26300.0,43,2014,10,2018,5,4.419955748489758,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
46963.0,140.0,False,True,False,False,False,True,True,True,23300.0,31,2015,10,2018,5,4.367355921026019,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
43662.0,180.0,True,False,False,False,True,False,True,False,20800.0,60,2013,5,2018,5,4.318063334962762,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
196092.0,85.0,True,False,False,False,False,False,False,False,1800.0,274,1995,10,2018,5,3.255272505103306,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
113678.0,190.0,True,True,False,False,True,True,True,True,30100.0,46,2014,7,2018,5,4.478566495593843,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
65988.0,135.0,True,True,False,False,True,True,True,True,28700.0,46,2014,7,2018,5,4.457881896733992,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
123809.0,125.0,True,False,False,False,False,True,True,False,6500.0,168,2004,7,2018,5,3.8129133566428557,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
181252.0,120.0,True,True,False,False,True,False,True,True,11100.0,118,2008,8,2018,5,4.045322978786658,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
195114.0,105.0,True,True,False,False,False,True,True,False,9900.0,92,2010,10,2018,5,3.99563519459755,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
82761.0,110.0,True,False,False,False,False,True,True,False,9500.0,158,2005,5,2018,5,3.9777236052888476,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
25050.0,100.0,False,True,False,False,False,False,True,True,31000.0,29,2016,1,2018,6,4.491361693834273,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
64832.0,135.0,True,True,False,False,True,True,True,True,27500.0,50,2014,4,2018,6,4.439332693830263,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
240788.0,120.0,True,False,False,False,False,False,True,False,5500.0,114,2009,1,2018,6,3.7403626894942437,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
124516.0,125.0,True,False,False,False,False,True,True,False,6300.0,169,2004,7,2018,6,3.7993405494535817,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
187294.0,105.0,True,False,False,False,False,True,True,False,2400.0,203,2001,9,2018,6,3.380211241711606,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24452.0,270.0,True,False,False,False,False,False,True,False,6800.0,127,2008,1,2018,7,3.832508912706236,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17267.0,110.0,True,True,False,False,True,False,True,True,24200.0,28,2016,3,2018,7,4.383815365980431,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
194192.0,120.0,True,True,False,False,True,False,True,False,11800.0,121,2008,7,2018,7,4.071882007306125,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36696.0,120.0,True,True,False,False,True,False,True,True,34300.0,48,2014,7,2018,7,4.535294120042771,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
270907.0,236.0,True,False,False,False,False,True,True,False,12100.0,267,1996,8,2018,8,4.08278537031645,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
142483.0,180.0,True,True,False,False,True,False,True,True,15800.0,54,2012,1,2007,8,4.198657086954422,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
223269.0,120.0,True,True,False,False,False,False,True,True,8000.0,122,2008,7,2018,8,3.9030899869919438,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
158805.0,130.0,True,False,False,False,True,True,True,False,9000.0,123,2008,6,2018,8,3.9542425094393248,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13131.0,110.0,False,True,False,False,True,False,True,True,24300.0,28,2016,4,2018,8,4.385606273598312,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
187104.0,105.0,True,False,False,False,False,True,True,False,2600.0,205,2001,9,2018,8,3.4149733479708178,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20996.0,135.0,True,False,False,False,True,False,True,False,21400.0,47,2014,5,2018,4,4.330413773349191,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50222.0,135.0,False,False,False,False,False,False,False,True,26200.0,49,2014,4,2018,5,4.418301291319746,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
